,Opening,Colour,Num Games,ECO,Last Played,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Moves,moves_list,move1w,move1b,move2w,move2b,move3w,move3b,move4w,move4b,White_win%,Black_win%,White_odds,White_Wins,Black_Wins
505,"Grob Opening, General",white,392,A00,2018-06-30,1979,2004,34.7,18.6,46.7,1.g4,['1.g4'],g4,,,,,,,,34.7,46.7,0.7430406852248395,136.024,183.06400000000002
506,"Grob Opening, Grob Gambit, Declined",black,112,A00,2018-03-11,2082,2123,46.4,23.2,30.4,1.g4 d5 2.Bg2 c6,"['1.g4', 'd5', '2.Bg2', 'c6']",g4,d5,Bg2,c6,,,,,30.4,46.4,0.6551724137931034,34.047999999999995,51.968
507,"Grob Opening, Grob Gambit, Fritz Gambit",white,159,A00,2018-06-23,1919,1917,45.3,13.8,40.9,1.g4 d5 2.Bg2 Bxg4 3.c4,"['1.g4', 'd5', '2.Bg2', 'Bxg4', '3.c4']",g4,d5,Bg2,Bxg4,c4,,,,45.3,40.9,1.1075794621026895,72.027,65.03099999999999
508,"Grob Opening, Keene Defense",black,134,A00,2018-06-22,2205,2176,53.0,19.4,27.6,1.g4 d5 2.h3 e5 3.Bg2 c6,"['1.g4', 'd5', '2.h3', 'e5', '3.Bg2', 'c6']",g4,d5,h3,e5,Bg2,c6,,,27.6,53.0,0.5207547169811321,36.984,71.02
509,"Gruenfeld Defense, Botvinnik Variation",black,364,D95,2018-05-26,2405,2392,36.3,40.1,23.6,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Qb3 e6,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.e3', 'O-O', '6.Qb3', 'e6']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,23.6,36.3,0.6501377410468321,85.904,132.13199999999998
510,"Gruenfeld Defense, Brinckmann Attack",white,1813,D82,2018-06-29,2368,2331,34.6,40.0,25.4,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Bf4']",d4,Nf6,c4,g6,Nc3,d5,Bf4,,34.6,25.4,1.3622047244094488,627.298,460.50199999999995
511,"Gruenfeld Defense, Brinckmann Attack, Grünfeld Gambit",black,217,D83,2018-06-21,2286,2350,26.7,33.2,40.1,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Bf4', 'Bg7', '5.e3', 'O-O']",d4,Nf6,c4,g6,Nc3,d5,Bf4,Bg7,40.1,26.7,1.50187265917603,87.01700000000001,57.93899999999999
512,"Gruenfeld Defense, Brinckmann Attack, Grünfeld Gambit, Accepted",white,378,D84,2018-06-01,2388,2346,31.5,43.4,25.1,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.cxd5 Nxd5 7.Nxd5 Qxd5 8.Bxc7,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Bf4', 'Bg7', '5.e3', 'O-O', '6.cxd5', 'Nxd5', '7.Nxd5', 'Qxd5', '8.Bxc7']",d4,Nf6,c4,g6,Nc3,d5,Bf4,Bg7,31.5,25.1,1.254980079681275,119.07,94.87800000000001
513,"Gruenfeld Defense, Brinckmann Attack, Grünfeld Gambit, Botvinnik Variation",black,166,D83,2018-05-06,2377,2406,24.7,42.2,33.1,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1 c5 7.dxc5 Be6,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Bf4', 'Bg7', '5.e3', 'O-O', '6.Rc1', 'c5', '7.dxc5', 'Be6']",d4,Nf6,c4,g6,Nc3,d5,Bf4,Bg7,33.1,24.7,1.3400809716599191,54.946000000000005,41.001999999999995
514,"Gruenfeld Defense, Brinckmann Attack, Grünfeld Gambit, Capablanca Variation",white,573,D83,2018-06-17,2404,2398,34.0,38.6,27.4,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Bf4', 'Bg7', '5.e3', 'O-O', '6.Rc1']",d4,Nf6,c4,g6,Nc3,d5,Bf4,Bg7,34.0,27.4,1.2408759124087592,194.82,157.00199999999998
515,"Gruenfeld Defense, Brinckmann Attack, Reshevsky Gambit",black,124,D83,2018-05-20,2279,2273,29.0,29.0,41.9,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1 c5 7.dxc5 Qa5,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Bf4', 'Bg7', '5.e3', 'O-O', '6.Rc1', 'c5', '7.dxc5', 'Qa5']",d4,Nf6,c4,g6,Nc3,d5,Bf4,Bg7,41.9,29.0,1.4448275862068964,51.955999999999996,35.96
516,"Gruenfeld Defense, Exchange Variation",black,8830,D85,2018-07-09,2290,2314,27.2,36.6,36.1,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,36.1,27.2,1.3272058823529413,3187.63,2401.76
517,"Gruenfeld Defense, Exchange Variation, Classical Variation",white,2615,D86,2018-07-09,2319,2296,31.1,36.3,32.5,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Bc4']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,31.1,32.5,0.956923076923077,813.265,849.875
518,"Gruenfeld Defense, Exchange Variation, Modern Exchange Variation",white,7875,D85,2018-07-03,2352,2311,34.7,38.5,26.8,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Nf3']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,34.7,26.8,1.2947761194029852,2732.625,2110.5
519,"Gruenfeld Defense, Exchange Variation, Modern Exchange Variation, Kramnik's line",white,191,D85,2018-07-06,2430,2373,39.8,34.5,25.6,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3 c5 8.h3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Nf3', 'c5', '8.h3']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,39.8,25.6,1.5546874999999998,76.01799999999999,48.896
520,"Gruenfeld Defense, Exchange Variation, Modern Exchange Variation, Pawn Grab line",black,244,D85,2018-07-03,2208,2271,21.3,27.9,50.8,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3 c5 8.Rb1 O-O 9.Be2 Nc6 10.d5 Bxc3+,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Nf3', 'c5', '8.Rb1', 'O-O', '9.Be2', 'Nc6', '10.d5', 'Bxc3+']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,50.8,21.3,2.384976525821596,123.95199999999998,51.972
521,"Gruenfeld Defense, Exchange Variation, Nadanian Attack",white,334,D85,2018-06-24,2311,2272,38.0,33.5,28.4,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.Na4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.Na4']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,38.0,28.4,1.3380281690140845,126.92,94.85600000000001
522,"Gruenfeld Defense, Exchange Variation, Seville Variation",white,250,D87,2017-08-17,2366,2326,28.8,44.0,27.2,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 Bg4 11.f3 Na5 12.Bxf7+,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Bc4', 'O-O', '8.Ne2', 'c5', '9.O-O', 'Nc6', '10.Be3', 'Bg4', '11.f3', 'Na5', '12.Bxf7+']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,28.8,27.2,1.0588235294117647,72.0,68.0
523,"Gruenfeld Defense, Exchange Variation, Simagin's Improved Variation",black,517,D86,2018-03-19,2342,2383,31.3,32.7,36.0,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 Nc6,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Bc4', 'O-O', '8.Ne2', 'Nc6']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,36.0,31.3,1.1501597444089458,186.12,161.821
524,"Gruenfeld Defense, Exchange Variation, Sokolsky Variation",white,409,D89,2018-03-21,2321,2315,38.9,31.5,29.6,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4 Bg4 12.f3 Na5 13.Bd3 Be6 14.d5,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Bc4', 'O-O', '8.Ne2', 'c5', '9.O-O', 'Nc6', '10.Be3', 'cxd4', '11.cxd4', 'Bg4', '12.f3', 'Na5', '13.Bd3', 'Be6', '14.d5']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,38.9,29.6,1.314189189189189,159.101,121.06400000000002
525,"Gruenfeld Defense, Exchange Variation, Spassky Variation",white,766,D88,2018-06-15,2208,2182,40.0,34.2,25.9,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Bc4', 'O-O', '8.Ne2', 'c5', '9.O-O', 'Nc6', '10.Be3', 'cxd4', '11.cxd4']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,40.0,25.9,1.5444015444015444,306.4,198.39399999999998
526,"Gruenfeld Defense, Exchange Variation, Spassky Variation",black,2135,D87,2018-07-08,2235,2274,30.5,31.1,38.4,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Bc4', 'O-O', '8.Ne2', 'c5']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,38.4,30.5,1.2590163934426228,819.84,651.175
527,"Gruenfeld Defense, Exchange Variation, Spassky Variation",black,442,D89,2018-06-07,2274,2292,28.5,37.1,34.4,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4 Bg4 12.f3 Na5 13.Bd3 Be6,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.cxd5', 'Nxd5', '5.e4', 'Nxc3', '6.bxc3', 'Bg7', '7.Bc4', 'O-O', '8.Ne2', 'c5', '9.O-O', 'Nc6', '10.Be3', 'cxd4', '11.cxd4', 'Bg4', '12.f3', 'Na5', '13.Bd3', 'Be6']",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,34.4,28.5,1.207017543859649,152.048,125.97
528,"Gruenfeld Defense, Flohr Defense",black,119,D94,2018-03-11,2304,2346,18.5,44.5,37.0,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3 c6 7.O-O Bf5,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.e3', 'O-O', '6.Bd3', 'c6', '7.O-O', 'Bf5']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,37.0,18.5,2.0,44.03,22.015
529,"Gruenfeld Defense, Flohr Variation",white,449,D90,2018-05-11,2438,2411,41.6,34.7,23.6,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qa4+,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Qa4+']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,41.6,23.6,1.7627118644067796,186.78400000000002,105.96400000000001
530,"Gruenfeld Defense, General",black,4134,D80,2018-07-05,2284,2303,29.3,33.7,36.9,1.d4 Nf6 2.c4 g6 3.Nc3 d5,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5']",d4,Nf6,c4,g6,Nc3,d5,,,36.9,29.3,1.25938566552901,1525.4460000000001,1211.262
531,"Gruenfeld Defense, Lutikov Variation",white,119,D70,2017-08-05,2225,2197,42.9,20.2,37.0,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.f3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.f3']",d4,Nf6,c4,g6,Nc3,d5,f3,,42.9,37.0,1.1594594594594594,51.050999999999995,44.03
532,"Gruenfeld Defense, Makogonov Variation",white,531,D94,2018-05-18,2381,2362,36.0,38.8,25.2,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.b4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.e3', 'O-O', '6.b4']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,36.0,25.2,1.4285714285714286,191.16,133.81199999999998
533,"Gruenfeld Defense, Opocensky Variation",white,499,D94,2018-06-30,2380,2377,27.7,45.1,27.3,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd2,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.e3', 'O-O', '6.Bd2']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,27.7,27.3,1.0146520146520146,138.22299999999998,136.227
534,"Gruenfeld Defense, Russian Variation",white,829,D96,2018-06-24,2349,2298,45.8,28.7,25.4,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Qb3']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,45.8,25.4,1.8031496062992125,379.68199999999996,210.56599999999997
535,"Gruenfeld Defense, Russian Variation, Accelerated Variation",white,478,D81,2018-06-22,2441,2405,41.6,34.1,24.3,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Qb3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Qb3']",d4,Nf6,c4,g6,Nc3,d5,Qb3,,41.6,24.3,1.7119341563786008,198.84799999999998,116.154
536,"Gruenfeld Defense, Russian Variation, Byrne (Simagin) Variation",black,604,D97,2018-07-03,2354,2368,27.5,36.8,35.8,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Nc6,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Qb3', 'dxc4', '6.Qxc4', 'O-O', '7.e4', 'Nc6']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,35.8,27.5,1.3018181818181818,216.23199999999997,166.1
537,"Gruenfeld Defense, Russian Variation, Hungarian Variation",black,1183,D97,2018-07-06,2382,2406,27.1,36.7,36.3,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 a6,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Qb3', 'dxc4', '6.Qxc4', 'O-O', '7.e4', 'a6']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,36.3,27.1,1.3394833948339482,429.4289999999999,320.593
538,"Gruenfeld Defense, Russian Variation, Prins Variation",black,861,D97,2018-06-03,2375,2397,30.0,34.5,35.5,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Na6,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Qb3', 'dxc4', '6.Qxc4', 'O-O', '7.e4', 'Na6']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,35.5,30.0,1.1833333333333333,305.655,258.3
539,"Gruenfeld Defense, Russian Variation, Smyslov Variation",black,459,D98,2018-06-28,2364,2397,27.7,38.6,33.8,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Bg4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Qb3', 'dxc4', '6.Qxc4', 'O-O', '7.e4', 'Bg4']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,33.8,27.7,1.220216606498195,155.142,127.14299999999999
540,"Gruenfeld Defense, Russian Variation, Smyslov Variation",white,176,D99,2016-12-12,2532,2440,43.2,35.8,21.0,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Bg4 8.Be3 Nfd7 9.Qb3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Qb3', 'dxc4', '6.Qxc4', 'O-O', '7.e4', 'Bg4', '8.Be3', 'Nfd7', '9.Qb3']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,43.2,21.0,2.0571428571428574,76.03200000000001,36.96
541,"Gruenfeld Defense, Russian Variation, Szabo (Boleslavsky)",black,408,D97,2018-06-26,2217,2279,20.8,33.1,46.1,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 c6,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Qb3', 'dxc4', '6.Qxc4', 'O-O', '7.e4', 'c6']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,46.1,20.8,2.2163461538461537,188.088,84.86399999999999
542,"Gruenfeld Defense, Russian Variation, With e4",white,254,D97,2018-05-26,2408,2331,43.7,28.7,27.6,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Qb3', 'dxc4', '6.Qxc4', 'O-O', '7.e4']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,43.7,27.6,1.5833333333333333,110.998,70.104
543,"Gruenfeld Defense, Smyslov Defense",black,762,D94,2018-06-25,2307,2349,15.2,49.2,35.6,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3 c6 7.O-O Bg4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.e3', 'O-O', '6.Bd3', 'c6', '7.O-O', 'Bg4']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,35.6,15.2,2.342105263157895,271.272,115.824
544,"Gruenfeld Defense, Three Knights Variation",black,2253,D90,2018-07-03,2274,2290,31.3,33.8,34.9,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,34.9,31.3,1.1150159744408945,786.297,705.1890000000001
545,"Gruenfeld Defense, Three Knights Variation, Burille Variation",white,2084,D94,2018-07-01,2167,2156,30.1,31.9,38.0,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.e3']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,30.1,38.0,0.7921052631578948,627.284,791.92
546,"Gruenfeld Defense, Three Knights Variation, Burille Variation, Reversed Tarrasch",black,1167,D94,2018-06-27,2321,2309,42.9,35.5,21.6,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 c5 6.Be2 cxd4 7.exd4 Nc6 8.O-O O-O,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.e3', 'c5', '6.Be2', 'cxd4', '7.exd4', 'Nc6', '8.O-O', 'O-O']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,21.6,42.9,0.5034965034965035,252.072,500.643
547,"Gruenfeld Defense, Three Knights Variation, Hungarian Attack",white,1783,D92,2018-07-08,2324,2296,36.8,36.0,27.3,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bf4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Bf4']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,36.8,27.3,1.3479853479853479,656.1439999999999,486.759
548,"Gruenfeld Defense, Three Knights Variation, Hungarian Variation",white,1864,D93,2018-07-01,2267,2226,33.1,35.1,31.7,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bf4 O-O 6.e3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Bf4', 'O-O', '6.e3']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,33.1,31.7,1.0441640378548898,616.984,590.8879999999999
549,"Gruenfeld Defense, Three Knights Variation, Paris Variation",white,431,D94,2018-06-21,1942,1943,23.9,23.9,52.2,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.e3', 'O-O', '6.Bd3']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,23.9,52.2,0.4578544061302681,103.009,224.982
550,"Gruenfeld Defense, Three Knights Variation, Petrosian System",white,4889,D91,2018-07-05,2307,2290,33.4,36.1,30.5,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bg5,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.Bg5']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,33.4,30.5,1.0950819672131147,1632.9260000000002,1491.145
551,"Gruenfeld Defense, Three Knights Variation, Vienna Variation",white,386,D95,2018-06-23,2331,2256,45.3,35.2,19.4,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Qb3,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.Nf3', 'Bg7', '5.e3', 'O-O', '6.Qb3']",d4,Nf6,c4,g6,Nc3,d5,Nf3,Bg7,45.3,19.4,2.3350515463917527,174.858,74.884
552,"Gruenfeld Defense, Zaitsev Gambit",white,160,D80,2018-04-02,2264,2240,42.5,29.4,28.1,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.h4,"['1.d4', 'Nf6', '2.c4', 'g6', '3.Nc3', 'd5', '4.h4']",d4,Nf6,c4,g6,Nc3,d5,h4,,42.5,28.1,1.5124555160142348,68.0,44.96
553,"Gunderam Defense, General",black,613,C40,2018-06-26,2084,2171,31.8,21.9,46.3,1.e4 e5 2.Nf3 Qe7,"['1.e4', 'e5', '2.Nf3', 'Qe7']",e4,e5,Nf3,Qe7,,,,,46.3,31.8,1.4559748427672954,283.81899999999996,194.93400000000003
554,"Horwitz Defense, General",black,10256,A40,2018-07-07,2158,2195,32.1,29.2,38.7,1.d4 e6,"['1.d4', 'e6']",d4,e6,,,,,,,38.7,32.1,1.205607476635514,3969.072,3292.1760000000004
555,"Hungarian Opening, Catalan Formation",black,170,A00,2018-03-18,2059,2108,21.8,24.1,54.1,1.g3 d5 2.Bg2 e6,"['1.g3', 'd5', '2.Bg2', 'e6']",g3,d5,Bg2,e6,,,,,54.1,21.8,2.481651376146789,91.97,37.06
556,"Hungarian Opening, Dutch Defense",black,528,A00,2018-06-22,2211,2241,26.5,29.4,44.1,1.g3 f5,"['1.g3', 'f5']",g3,f5,,,,,,,44.1,26.5,1.6641509433962265,232.84799999999998,139.92
557,"Hungarian Opening, General",white,7551,A00,2018-07-09,2285,2273,38.8,30.2,31.0,1.g3,['1.g3'],g3,,,,,,,,38.8,31.0,1.2516129032258063,2929.788,2340.81
558,"Hungarian Opening, Indian Defense",black,3998,A00,2018-07-06,2219,2230,24.4,31.5,44.1,1.g3 Nf6,"['1.g3', 'Nf6']",g3,Nf6,,,,,,,44.1,24.4,1.807377049180328,1763.1180000000002,975.512
559,"Hungarian Opening, Reversed Modern Defense",black,199,A00,2018-06-21,2191,2191,35.7,26.6,37.7,1.g3 d5 2.Bg2 c5,"['1.g3', 'd5', '2.Bg2', 'c5']",g3,d5,Bg2,c5,,,,,37.7,35.7,1.0560224089635855,75.023,71.043
560,"Hungarian Opening, Sicilian Invitation",black,1533,A00,2018-06-27,2287,2295,29.4,32.2,38.5,1.g3 c5,"['1.g3', 'c5']",g3,c5,,,,,,,38.5,29.4,1.3095238095238095,590.205,450.702
